,epoch,loss,accuracy,macro_f,precision,recall,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,split,seed,dropout_rate,embedding_type,max_length,arch_type,run_id
21,3,0.521916,0.8425,0.842102,0.881181,0.8425,0.732026,0.7738,0.756166,0.800968,0.7738,0.62918,0.8126,0.798459,0.833656,0.8126,valid,25,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
22,2,0.639992,0.80782,0.807011,0.854553,0.80782,0.957268,0.6976,0.685673,0.761744,0.6976,0.862371,0.7316,0.719301,0.776305,0.7316,valid,25,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
23,1,0.719138,0.7848,0.782572,0.834821,0.7848,0.783562,0.7712,0.75527,0.811595,0.7712,0.65916,0.8127,0.801455,0.845139,0.8127,valid,25,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
24,3,0.522617,0.83838,0.837886,0.878094,0.83838,0.621976,0.808,0.797783,0.840453,0.808,0.574437,0.8255,0.819666,0.859921,0.8255,valid,2021,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
25,2,0.653853,0.80068,0.800235,0.849309,0.80068,0.890422,0.7562,0.728581,0.764026,0.7562,0.847991,0.7743,0.75284,0.787801,0.7743,valid,2021,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
26,1,0.706124,0.78866,0.786202,0.836961,0.78866,0.889122,0.7366,0.715238,0.751718,0.7366,0.848416,0.7511,0.728791,0.760805,0.7511,valid,2021,0.2,roberta-wwm,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
27,3,0.08155,0.97436,0.974303,0.980846,0.97436,0.181453,0.9464,0.945496,0.958895,0.9464,0.164646,0.9495,0.949156,0.961879,0.9495,valid,4,0.2,bert-base-chinese,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
28,2,0.115179,0.96372,0.963675,0.972867,0.96372,0.18002,0.949,0.948798,0.963836,0.949,0.191597,0.9423,0.94113,0.955829,0.9423,valid,4,0.2,bert-base-chinese,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
29,1,0.299145,0.90864,0.906637,0.924324,0.90864,0.255921,0.924,0.919569,0.942192,0.924,0.22746,0.9277,0.92473,0.945249,0.9277,valid,4,0.2,bert-base-chinese,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
30,3,0.079119,0.97476,0.97471,0.981191,0.97476,0.202297,0.9424,0.940224,0.955101,0.9424,0.190545,0.9424,0.941052,0.956043,0.9424,valid,25,0.2,bert-base-chinese,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
31,2,0.117185,0.96282,0.962841,0.972483,0.96282,0.158862,0.9512,0.950042,0.961843,0.9512,0.164615,0.9457,0.945363,0.960035,0.9457,valid,25,0.2,bert-base-chinese,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
32,1,0.298604,0.9096,0.907551,0.925188,0.9096,0.219867,0.9312,0.9283,0.948621,0.9312,0.235824,0.9246,0.921094,0.942686,0.9246,valid,25,0.2,bert-base-chinese,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
33,3,0.080162,0.9747,0.97477,0.981419,0.9747,0.230633,0.9334,0.930691,0.949614,0.9334,0.199787,0.9392,0.937651,0.953303,0.9392,valid,2021,0.2,bert-base-chinese,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
34,2,0.116334,0.9636,0.96374,0.973407,0.9636,0.220483,0.9348,0.932314,0.950803,0.9348,0.200775,0.938,0.935781,0.952721,0.938,valid,2021,0.2,bert-base-chinese,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
35,1,0.296521,0.90906,0.906526,0.923913,0.90906,0.193935,0.9384,0.937209,0.954574,0.9384,0.186473,0.9386,0.937246,0.9535,0.9386,valid,2021,0.2,bert-base-chinese,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
36,3,0.080567,0.97418,0.973964,0.980544,0.97418,0.220938,0.9378,0.935972,0.95338,0.9378,0.194579,0.9419,0.940779,0.956213,0.9419,valid,2020,0.2,bert-base-chinese,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
37,2,0.116115,0.9635,0.963225,0.972579,0.9635,0.173477,0.9496,0.949313,0.962917,0.9496,0.170123,0.9452,0.943575,0.957676,0.9452,valid,2020,0.2,bert-base-chinese,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
38,1,0.304271,0.9077,0.90593,0.923199,0.9077,0.207044,0.9374,0.935569,0.952428,0.9374,0.207122,0.934,0.931679,0.948863,0.934,valid,2020,0.2,bert-base-chinese,256,PretrainedBaseline,cnews/keep_all/PretrainedBaseline
