,arch_type,seed,base,variant_name,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,dropout_rate,embedding_type,max_length,head_num,calculate_entropy,with_gru,run_id
54,BiAttentionClassifyModel,2020,0,base,0.983304,0.712835,0.709001,0.751686,0.712835,2.760046,0.9794,0.713283,0.709604,0.752138,0.713283,2.764579,0.2,glove,100,70.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
55,BiAttentionClassifyModel,42,0,base,0.997235,0.709001,0.699328,0.73684,0.709001,2.785699,0.985948,0.713233,0.702885,0.738722,0.713233,2.787955,0.2,glove,100,70.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
56,BiAttentionClassifyModel,2021,0,base,0.99541,0.712885,0.70585,0.744271,0.712885,2.784578,0.98501,0.715872,0.708466,0.74608,0.715872,2.789137,0.2,glove,100,70.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
57,BiAttentionClassifyModel,5,0,base,0.993006,0.709848,0.700571,0.736456,0.709848,2.843676,0.989447,0.708703,0.699255,0.736353,0.708703,2.847312,0.2,glove,100,90.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
58,BiAttentionClassifyModel,40,0,base,1.001507,0.71169,0.701163,0.736358,0.71169,2.820662,0.992459,0.710843,0.70191,0.737802,0.710843,2.823653,0.2,glove,100,90.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
59,BiAttentionClassifyModel,2020,0,base,0.995015,0.710246,0.702743,0.740646,0.710246,2.831332,0.987448,0.712536,0.707138,0.746966,0.712536,2.833507,0.2,glove,100,90.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
60,BiAttentionClassifyModel,42,0,base,0.994182,0.710594,0.702817,0.739951,0.710594,2.837033,0.987945,0.711242,0.703289,0.74124,0.711242,2.84017,0.2,glove,100,90.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
61,BiAttentionClassifyModel,2021,0,base,0.989442,0.711043,0.702358,0.739429,0.711043,2.852149,0.981396,0.712735,0.703201,0.739384,0.712735,2.855312,0.2,glove,100,90.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
62,BiAttentionClassifyModel,5,0,base,0.997752,0.708553,0.699468,0.736954,0.708553,2.838085,0.987167,0.711391,0.701056,0.737274,0.711391,2.841143,0.2,glove,100,100.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
63,BiAttentionClassifyModel,40,0,base,0.990703,0.712934,0.699895,0.734881,0.712934,2.905471,0.981879,0.711291,0.698943,0.732381,0.711291,2.909759,0.2,glove,100,100.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
64,BiAttentionClassifyModel,2020,0,base,0.992407,0.71164,0.701474,0.736627,0.71164,2.655733,0.991446,0.706163,0.696628,0.732401,0.706163,2.66003,0.2,glove,100,100.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
65,BiAttentionClassifyModel,42,0,base,0.985275,0.710893,0.702786,0.739236,0.710893,2.870514,0.982122,0.709599,0.701824,0.739468,0.709599,2.874135,0.2,glove,100,100.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
66,BiAttentionClassifyModel,2021,0,base,0.999506,0.709001,0.701157,0.737423,0.709001,2.829469,0.999839,0.7093,0.703709,0.745414,0.7093,2.833918,0.2,glove,100,100.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
67,BiAttentionClassifyModel,5,0,base,0.991399,0.710744,0.702468,0.740519,0.710744,2.829292,0.989038,0.713731,0.705888,0.743523,0.713731,2.832936,0.2,glove,100,80.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
68,BiAttentionClassifyModel,40,0,base,0.993353,0.709748,0.695837,0.726523,0.709748,2.776939,0.990791,0.709748,0.696323,0.728077,0.709748,2.780968,0.2,glove,100,80.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
69,BiAttentionClassifyModel,2020,0,base,0.98813,0.713382,0.700658,0.734103,0.713382,2.794221,0.985984,0.710794,0.699419,0.733453,0.710794,2.797913,0.2,glove,100,80.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
70,BiAttentionClassifyModel,42,0,base,0.999204,0.707806,0.695716,0.729278,0.707806,2.63828,0.995787,0.705815,0.693045,0.726674,0.705815,2.642765,0.2,glove,100,80.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
71,BiAttentionClassifyModel,2021,0,base,0.996926,0.710495,0.702912,0.741649,0.710495,2.667898,0.985445,0.712038,0.705027,0.744373,0.712038,2.670626,0.2,glove,100,80.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
72,BiAttentionClassifyModel,5,0,base,0.993359,0.71169,0.702443,0.737272,0.71169,2.78067,0.976701,0.711839,0.701149,0.734067,0.711839,2.785097,0.2,glove,100,60.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
73,BiAttentionClassifyModel,40,0,base,0.998157,0.710445,0.697689,0.729166,0.710445,2.765822,1.000047,0.71154,0.698459,0.730251,0.71154,2.768886,0.2,glove,100,60.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
74,BiAttentionClassifyModel,2020,0,base,0.993542,0.712685,0.706051,0.744217,0.712685,2.739227,0.990347,0.71169,0.704672,0.743033,0.71169,2.741062,0.2,glove,100,60.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
75,BiAttentionClassifyModel,42,0,base,1.003357,0.706114,0.695438,0.729202,0.706114,2.80178,1.000142,0.706213,0.696493,0.732655,0.706213,2.805456,0.2,glove,100,60.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
76,BiAttentionClassifyModel,2021,0,base,0.994261,0.710843,0.69978,0.734238,0.710843,2.821511,0.985665,0.709997,0.70211,0.739905,0.709997,2.825551,0.2,glove,100,60.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
77,BiAttentionClassifyModel,5,0,base,1.001632,0.705616,0.699841,0.741198,0.705616,2.790601,0.986125,0.709101,0.704766,0.74838,0.709101,2.793258,0.2,glove,100,40.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
78,BiAttentionClassifyModel,40,0,base,1.000322,0.709499,0.700162,0.734125,0.709499,2.743394,0.998272,0.708205,0.699307,0.734421,0.708205,2.745539,0.2,glove,100,40.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
79,BiAttentionClassifyModel,2020,0,base,1.003608,0.707707,0.701848,0.742498,0.707707,2.801105,0.997378,0.708503,0.703366,0.746098,0.708503,2.804793,0.2,glove,100,40.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
80,BiAttentionClassifyModel,42,0,base,0.994945,0.712138,0.699077,0.731793,0.712138,2.766874,0.986621,0.71154,0.699513,0.732189,0.71154,2.770778,0.2,glove,100,40.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
81,BiAttentionClassifyModel,2021,0,base,1.001504,0.705516,0.696804,0.73536,0.705516,2.808668,0.99502,0.705915,0.696728,0.736676,0.705915,2.809921,0.2,glove,100,40.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
82,BiAttentionClassifyModel,5,0,base,0.993555,0.708354,0.702894,0.744661,0.708354,2.790216,0.991656,0.708304,0.703649,0.746717,0.708304,2.792527,0.2,glove,100,20.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
83,BiAttentionClassifyModel,40,0,base,0.988931,0.712437,0.701713,0.736741,0.712437,2.813697,0.98246,0.709101,0.698204,0.733343,0.709101,2.815296,0.2,glove,100,20.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
84,BiAttentionClassifyModel,2020,0,base,0.992756,0.710794,0.702636,0.739778,0.710794,2.739351,0.98046,0.709848,0.703239,0.742215,0.709848,2.742478,0.2,glove,100,20.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
85,BiAttentionClassifyModel,42,0,base,0.991092,0.711142,0.701923,0.737089,0.711142,2.785939,0.983344,0.710346,0.700677,0.737214,0.710346,2.788929,0.2,glove,100,20.0,1.0,gru,News26/keep_all/BiAttentionClassifyModel
