,arch_type,seed,base,variant_name,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,NPMI,CV,token_entropy,dropout_rate,embedding_type,max_length,head_num,calculate_entropy,with_gru,run_id
0,BiAttentionClassifyModel,5,0,base,1.00281,0.705765,0.688778,0.718305,0.705765,2.671468,0.997434,0.706562,0.689576,0.719393,0.706562,2.674854,-0.22954756862985015,0.39949628749360167,11.249275945395048,0.2,glove,100,50,1,gru,News26/keep_all/BiAttentionClassifyModel
1,BiAttentionClassifyModel,40,0,base,1.000211,0.708802,0.691969,0.719896,0.708802,2.627858,0.997632,0.708255,0.694255,0.725326,0.708255,2.631313,-0.26138035344789345,0.4578273760762027,11.214177541331921,0.2,glove,100,50,1,gru,News26/keep_all/BiAttentionClassifyModel
2,BiAttentionClassifyModel,2020,0,base,1.004313,0.70686,0.696187,0.730371,0.70686,2.645289,1.000454,0.705068,0.694686,0.72878,0.705068,2.648266,-0.22167323327169558,0.3978771743215108,11.236720707510116,0.2,glove,100,50,1,gru,News26/keep_all/BiAttentionClassifyModel
3,BiAttentionClassifyModel,42,0,base,1.003197,0.710993,0.703077,0.74012,0.710993,2.445923,0.998223,0.709499,0.701421,0.739182,0.709499,2.448864,-0.26602161541063335,0.48116657662180423,11.200266982104894,0.2,glove,100,50,1,gru,News26/keep_all/BiAttentionClassifyModel
4,BiAttentionClassifyModel,2021,0,base,1.012926,0.705915,0.694692,0.728381,0.705915,2.439136,1.003241,0.711043,0.701521,0.73759,0.711043,2.442821,-0.2614135443003828,0.483349125151612,11.201957867303607,0.2,glove,100,50,1,gru,News26/keep_all/BiAttentionClassifyModel
5,BiAttentionClassifyModel,2021,0,base,1.064883,0.687245,0.672299,0.704525,0.687245,2.320023,1.070608,0.689236,0.674627,0.708263,0.689236,2.322401,-0.25109075513939233,0.5019020945453908,11.101059573010145,0.2,glove,256,40,1,,News26/keep_all/BiAttentionClassifyModel
6,BiAttentionClassifyModel,2020,0,base,1.07401,0.686847,0.673178,0.706168,0.686847,2.336748,1.079135,0.686797,0.672545,0.704908,0.686797,2.340745,-0.2476554982909104,0.47981602815596824,11.102832927627764,0.2,glove,256,40,1,,News26/keep_all/BiAttentionClassifyModel
7,BiAttentionClassifyModel,42,0,base,1.076371,0.691825,0.678792,0.713161,0.691825,2.174186,1.07202,0.690381,0.676632,0.710097,0.690381,2.179304,-0.2822401904510027,0.5464561430974678,11.050879772798321,0.2,glove,256,40,1,,News26/keep_all/BiAttentionClassifyModel
