,arch_type,seed,base,variant_name,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,dropout_rate,embedding_type,max_length,head_num,calculate_entropy,with_gru,run_id,head_dim
211,BiAttentionClassifyModel,4.0,0.0,base,0.66135,0.778724,0.772917,0.797415,0.778724,0.373237,0.650702,0.782252,0.778037,0.803601,0.782252,0.372674,0.2,glove,256.0,140.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
212,BiAttentionClassifyModel,25.0,0.0,base,0.651409,0.775809,0.76334,0.783279,0.775809,0.347308,0.641056,0.778417,0.768011,0.79042,0.778417,0.347437,0.2,glove,256.0,140.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
213,BiAttentionClassifyModel,2021.0,0.0,base,0.654557,0.785397,0.776085,0.799483,0.785397,0.834246,0.636576,0.788311,0.778794,0.801036,0.788311,0.834806,0.2,glove,256.0,140.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
214,BiAttentionClassifyModel,2020.0,0.0,base,0.644475,0.783786,0.777795,0.802455,0.783786,2.274366,0.636863,0.785933,0.781537,0.806511,0.785933,2.277583,0.2,glove,256.0,140.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
215,BiAttentionClassifyModel,42.0,0.0,base,0.652977,0.782252,0.770278,0.794219,0.782252,1.250338,0.628082,0.792299,0.780692,0.799918,0.792299,1.251282,0.2,glove,256.0,140.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
216,BiAttentionClassifyModel,4.0,0.0,base,0.619913,0.790919,0.781387,0.802893,0.790919,2.009153,0.609931,0.79276,0.784105,0.803637,0.79276,2.012197,0.2,glove,256.0,120.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
217,BiAttentionClassifyModel,25.0,0.0,base,0.605363,0.792146,0.783573,0.806803,0.792146,2.185849,0.603738,0.795137,0.787079,0.811095,0.795137,2.189465,0.2,glove,256.0,120.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
218,BiAttentionClassifyModel,2021.0,0.0,base,0.627658,0.78555,0.76987,0.789248,0.78555,1.965625,0.611007,0.79345,0.779629,0.79767,0.79345,1.969275,0.2,glove,256.0,120.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
219,BiAttentionClassifyModel,2020.0,0.0,base,0.641284,0.791916,0.780757,0.800404,0.791916,2.039894,0.629856,0.798972,0.790091,0.812649,0.798972,2.0425,0.2,glove,256.0,120.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
220,BiAttentionClassifyModel,42.0,0.0,base,0.621368,0.787928,0.782162,0.807595,0.787928,1.880374,0.61199,0.791379,0.787121,0.812749,0.791379,1.882104,0.2,glove,256.0,120.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
221,BiAttentionClassifyModel,4.0,0.0,base,0.63858,0.790765,0.777238,0.795864,0.790765,1.964858,0.631577,0.795214,0.783492,0.803335,0.795214,1.966075,0.2,glove,256.0,100.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
222,BiAttentionClassifyModel,25.0,0.0,base,0.658865,0.787161,0.782909,0.807316,0.787161,2.087567,0.640174,0.79322,0.792532,0.820127,0.79322,2.0911,0.2,glove,256.0,100.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
223,BiAttentionClassifyModel,2021.0,0.0,base,0.646735,0.79414,0.789971,0.814881,0.79414,2.604997,0.635846,0.796595,0.795128,0.821299,0.796595,2.609056,0.2,glove,256.0,100.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
224,BiAttentionClassifyModel,2020.0,0.0,base,0.611071,0.795521,0.78542,0.808283,0.795521,3.033363,0.601957,0.797822,0.788457,0.808668,0.797822,3.03914,0.2,glove,256.0,100.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
225,BiAttentionClassifyModel,42.0,0.0,base,0.616681,0.794217,0.789554,0.815944,0.794217,3.21736,0.605393,0.797592,0.794558,0.819584,0.797592,3.224886,0.2,glove,256.0,100.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
226,BiAttentionClassifyModel,4.0,0.0,base,0.617853,0.79483,0.784388,0.805986,0.79483,3.31718,0.599339,0.800123,0.790439,0.81019,0.800123,3.324322,0.2,glove,256.0,80.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
227,BiAttentionClassifyModel,25.0,0.0,base,0.610605,0.797592,0.795706,0.824681,0.797592,3.065468,0.597874,0.80273,0.801387,0.827121,0.80273,3.071862,0.2,glove,256.0,80.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
228,BiAttentionClassifyModel,2021.0,0.0,base,0.619618,0.785933,0.77973,0.802714,0.785933,3.178019,0.609183,0.796211,0.790755,0.813999,0.796211,3.181299,0.2,glove,256.0,80.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
229,BiAttentionClassifyModel,2020.0,0.0,base,0.629115,0.789538,0.784102,0.807803,0.789538,3.180076,0.615025,0.799893,0.795415,0.820217,0.799893,3.184259,0.2,glove,256.0,80.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
230,BiAttentionClassifyModel,42.0,0.0,base,0.640173,0.790842,0.785909,0.811092,0.790842,3.307412,0.62621,0.799586,0.797356,0.821829,0.799586,3.314126,0.2,glove,256.0,80.0,1.0,,MIND15/keep_all/BiAttentionClassifyModel,
