,epoch,loss,accuracy,macro_f,precision,recall,doc_entropy,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,split,seed,dropout_rate,embedding_type,max_length,head_num,arch_type,calculate_entropy,with_gru,run_id,entropy_constraint,head_dim,variant_name
16,2,0.483787,0.831427,0.825958,0.847659,0.831427,4.551355,0.575481,0.80273,0.791631,0.812771,0.80273,4.830549,0.558839,0.808329,0.796681,0.81252,0.808329,4.841625,valid,2021,0.2,glove,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
17,1,0.695802,0.764887,0.749782,0.769229,0.764887,4.181623,0.598194,0.793987,0.78917,0.813403,0.793987,4.716448,0.589813,0.800813,0.796364,0.820675,0.800813,4.727534,valid,2021,0.2,glove,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
18,2,0.483787,0.831427,0.825958,0.847659,0.831427,4.551355,0.575481,0.80273,0.791631,0.812771,0.80273,4.830549,0.558839,0.808329,0.796681,0.81252,0.808329,4.841625,valid,2021,0.2,glove,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
19,1,0.695802,0.764887,0.749782,0.769229,0.764887,4.181623,0.598194,0.793987,0.78917,0.813403,0.793987,4.716448,0.589813,0.800813,0.796364,0.820675,0.800813,4.727534,valid,2021,0.2,glove,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
20,2,0.480916,0.830574,0.825235,0.846995,0.830574,4.344708,0.572964,0.803881,0.789532,0.806966,0.803881,4.678226,0.558618,0.808253,0.79546,0.814572,0.808253,4.689412,valid,5,0.2,xlnet-base-cased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
21,1,0.690794,0.764178,0.750827,0.770883,0.764178,4.268264,0.591935,0.79276,0.794751,0.825719,0.79276,4.677686,0.578853,0.796825,0.797786,0.827106,0.796825,4.688417,valid,5,0.2,xlnet-base-cased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
22,2,0.476971,0.831916,0.82671,0.848593,0.831916,4.231756,0.566883,0.802654,0.795144,0.818627,0.802654,4.621601,0.566484,0.806412,0.799566,0.823184,0.806412,4.632502,valid,40,0.2,xlnet-base-cased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
23,1,0.692187,0.76413,0.751216,0.772061,0.76413,4.238581,0.576625,0.797055,0.791513,0.814091,0.797055,4.610057,0.569618,0.799663,0.795959,0.821217,0.799663,4.621295,valid,40,0.2,xlnet-base-cased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
24,2,0.478346,0.831456,0.826662,0.849142,0.831456,4.328733,0.566762,0.805262,0.806622,0.835467,0.805262,4.676561,0.561571,0.808406,0.809632,0.838518,0.808406,4.687064,valid,2020,0.2,xlnet-base-cased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
25,1,0.691471,0.763718,0.750611,0.77153,0.763718,4.285559,0.590853,0.791379,0.784804,0.808773,0.791379,4.663425,0.584786,0.794447,0.788149,0.81289,0.794447,4.673999,valid,2020,0.2,xlnet-base-cased,256,60,BiAttentionClassifyModel,1,gru,MIND15/keep_all/BiAttentionClassifyModel,,,
