,epoch,loss,accuracy,macro_f,precision,recall,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,split,seed,dropout_rate,embedding_type,max_length,arch_type,run_id
40,3,0.400841,0.860612,0.857892,0.878186,0.860612,0.618127,0.797055,0.798954,0.828923,0.797055,0.605769,0.804571,0.805777,0.834321,0.804571,valid,2020,0.2,xlnet-base-cased,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
41,2,0.523641,0.819461,0.814582,0.837155,0.819461,0.581875,0.798435,0.795161,0.821689,0.798435,0.57177,0.806182,0.803844,0.829314,0.806182,valid,2020,0.2,xlnet-base-cased,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
42,1,0.749638,0.74808,0.733321,0.752744,0.74808,0.614875,0.784936,0.782825,0.812785,0.784936,0.60849,0.787851,0.786753,0.816877,0.787851,valid,2020,0.2,xlnet-base-cased,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
43,3,0.403585,0.860008,0.857257,0.877396,0.860008,0.614406,0.796595,0.795879,0.823537,0.796595,0.600908,0.803958,0.804435,0.832858,0.803958,valid,42,0.2,xlnet-base-cased,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
44,2,0.52393,0.818474,0.813562,0.836318,0.818474,0.579077,0.799893,0.796643,0.822392,0.799893,0.571022,0.806412,0.803192,0.826466,0.806412,valid,42,0.2,xlnet-base-cased,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
45,1,0.751269,0.747984,0.733461,0.753103,0.747984,0.613662,0.784169,0.777852,0.803201,0.784169,0.605976,0.790919,0.785871,0.808935,0.790919,valid,42,0.2,xlnet-base-cased,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
46,1,0.79411,0.736632,0.719684,0.737704,0.736632,0.64665,0.778724,0.771544,0.796178,0.778724,0.644172,0.778877,0.771962,0.794362,0.778877,valid,4,0.2,xlnet-base-cased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
47,3,0.438809,0.848177,0.844096,0.864217,0.848177,0.656868,0.785397,0.778981,0.804701,0.785397,0.651431,0.790305,0.782788,0.803807,0.790305,valid,25,0.2,xlnet-base-cased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
48,2,0.56306,0.807218,0.800835,0.824205,0.807218,0.637115,0.783786,0.772048,0.791976,0.783786,0.630087,0.790305,0.779407,0.798469,0.790305,valid,25,0.2,xlnet-base-cased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
49,1,0.795533,0.734724,0.717845,0.73594,0.734724,0.647247,0.776499,0.774243,0.803182,0.776499,0.641714,0.778264,0.776774,0.803895,0.778264,valid,25,0.2,xlnet-base-cased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
50,3,0.439213,0.849308,0.845491,0.866188,0.849308,0.663432,0.783863,0.782576,0.810407,0.783863,0.654934,0.789615,0.788197,0.816753,0.789615,valid,2021,0.2,xlnet-base-cased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
51,2,0.564561,0.807333,0.801411,0.824935,0.807333,0.625026,0.783249,0.774115,0.797378,0.783249,0.624635,0.787621,0.780164,0.80423,0.787621,valid,2021,0.2,xlnet-base-cased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
52,1,0.792884,0.736124,0.720057,0.738432,0.736124,0.66642,0.767909,0.764891,0.79681,0.767909,0.654193,0.774735,0.771718,0.800459,0.774735,valid,2021,0.2,xlnet-base-cased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
53,3,0.438329,0.84857,0.844749,0.865491,0.84857,0.668073,0.784706,0.784818,0.814386,0.784706,0.654901,0.791456,0.792095,0.82132,0.791456,valid,2020,0.2,xlnet-base-cased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
54,2,0.561643,0.808742,0.80263,0.825179,0.808742,0.636502,0.783863,0.779877,0.806005,0.783863,0.627956,0.791226,0.788807,0.815206,0.791226,valid,2020,0.2,xlnet-base-cased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
55,1,0.795575,0.736028,0.718683,0.736712,0.736028,0.658179,0.775042,0.770069,0.796333,0.775042,0.649912,0.779184,0.775836,0.802881,0.779184,valid,2020,0.2,xlnet-base-cased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
56,3,0.441405,0.847707,0.843636,0.864304,0.847707,0.652428,0.784093,0.783527,0.812566,0.784093,0.643235,0.790996,0.789222,0.815722,0.790996,valid,42,0.2,xlnet-base-cased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
57,2,0.564185,0.807064,0.801044,0.823798,0.807064,0.627859,0.784169,0.780788,0.807018,0.784169,0.62032,0.790075,0.785467,0.807683,0.790075,valid,42,0.2,xlnet-base-cased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
58,1,0.793223,0.737092,0.720515,0.73884,0.737092,0.657343,0.772434,0.768147,0.794322,0.772434,0.65084,0.778264,0.775423,0.801558,0.778264,valid,42,0.2,xlnet-base-cased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
59,1,0.875312,0.714379,0.695221,0.713927,0.714379,0.705725,0.758552,0.758612,0.794082,0.758552,0.694614,0.762847,0.763938,0.799857,0.762847,valid,42,0.2,bert-base-uncased,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
60,2,0.958626,0.694129,0.672786,0.689956,0.694129,0.93104,0.701488,0.693159,0.7232,0.701488,0.944234,0.695045,0.685463,0.712491,0.695045,valid,2020,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
61,1,1.085069,0.660591,0.631433,0.643382,0.660591,0.951368,0.696272,0.6885,0.715452,0.696272,0.951783,0.698113,0.689048,0.713384,0.698113,valid,2020,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
62,3,0.579627,0.801264,0.794441,0.81846,0.801264,0.715217,0.76208,0.749219,0.77095,0.76208,0.708368,0.758245,0.746635,0.77126,0.758245,valid,42,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
63,2,0.683755,0.771867,0.762457,0.786272,0.771867,0.70945,0.758092,0.741231,0.759837,0.758092,0.702222,0.758705,0.742274,0.757751,0.758705,valid,42,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
64,1,0.968096,0.69016,0.667128,0.682725,0.69016,0.766663,0.748888,0.745478,0.774269,0.748888,0.758476,0.750575,0.74822,0.775113,0.750575,valid,42,0.2,bert-base-uncased,100,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
65,3,0.344751,0.879203,0.87822,0.898058,0.879203,0.655294,0.790459,0.790467,0.819572,0.790459,0.652703,0.795444,0.794994,0.823737,0.795444,valid,4,0.2,distilbert-base-uncased,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
66,2,0.492859,0.828714,0.82545,0.848223,0.828714,0.578156,0.803574,0.799781,0.825058,0.803574,0.580476,0.805952,0.802477,0.825135,0.805952,valid,4,0.2,distilbert-base-uncased,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
67,1,0.731863,0.753277,0.74093,0.762851,0.753277,0.590956,0.79253,0.782547,0.804916,0.79253,0.595661,0.792069,0.781375,0.802272,0.792069,valid,4,0.2,distilbert-base-uncased,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
68,3,0.33978,0.881178,0.879453,0.897697,0.881178,0.643284,0.797668,0.795403,0.822525,0.797668,0.64489,0.797668,0.796395,0.821546,0.797668,valid,25,0.2,distilbert-base-uncased,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
69,2,0.486827,0.830746,0.827727,0.851458,0.830746,0.581175,0.798819,0.789542,0.810954,0.798819,0.577936,0.808253,0.799918,0.820236,0.808253,valid,25,0.2,distilbert-base-uncased,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
70,1,0.727913,0.754197,0.741725,0.76331,0.754197,0.580466,0.791993,0.790815,0.821174,0.791993,0.582182,0.795291,0.794464,0.822454,0.795291,valid,25,0.2,distilbert-base-uncased,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
71,3,0.341474,0.880469,0.879009,0.897971,0.880469,0.640541,0.794754,0.792665,0.817504,0.794754,0.634865,0.80158,0.802026,0.830377,0.80158,valid,2021,0.2,distilbert-base-uncased,256,PretrainedBaseline,MIND15/keep_all/PretrainedBaseline
