,epoch,loss,accuracy,macro_f,precision,recall,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,split,seed,dropout_rate,embedding_type,max_length,arch_type,run_id
21,4,0.55628,0.815454,0.807995,0.829174,0.815454,0.780686,0.750345,0.746234,0.774747,0.750345,0.77132,0.754794,0.751643,0.778898,0.754794,valid,25,0.2,glove,100,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
22,3,0.626973,0.792079,0.782769,0.804646,0.792079,0.77313,0.750499,0.746299,0.775793,0.750499,0.767238,0.750575,0.747368,0.774774,0.750575,valid,25,0.2,glove,100,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
23,2,0.70145,0.768838,0.757978,0.779806,0.768838,0.751741,0.75372,0.741366,0.765275,0.75372,0.745561,0.755867,0.744317,0.765049,0.755867,valid,25,0.2,glove,100,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
24,1,0.885412,0.716613,0.691022,0.703346,0.716613,0.775417,0.747047,0.736003,0.758289,0.747047,0.778226,0.746664,0.73556,0.755683,0.746664,valid,25,0.2,glove,100,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
25,5,0.493508,0.834198,0.828502,0.848956,0.834198,0.818237,0.750345,0.747058,0.778292,0.750345,0.808991,0.749348,0.74638,0.775675,0.749348,valid,2021,0.2,glove,100,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
26,4,0.555818,0.814083,0.807015,0.828391,0.814083,0.774999,0.754103,0.744457,0.768583,0.754103,0.766361,0.756404,0.747579,0.772466,0.756404,valid,2021,0.2,glove,100,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
27,3,0.627144,0.792222,0.783353,0.80594,0.792222,0.765619,0.751496,0.73574,0.755721,0.751496,0.75367,0.761773,0.747818,0.767014,0.761773,valid,2021,0.2,glove,100,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
28,2,0.706344,0.765942,0.755129,0.777011,0.765942,0.763437,0.752339,0.731252,0.751214,0.752339,0.750984,0.755714,0.735857,0.753995,0.755714,valid,2021,0.2,glove,100,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
29,1,0.878743,0.7183,0.694492,0.708035,0.7183,0.777061,0.746434,0.735644,0.754631,0.746434,0.773953,0.747047,0.73794,0.760454,0.747047,valid,2021,0.2,glove,100,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
30,5,0.491353,0.836384,0.83053,0.851015,0.836384,0.812522,0.750115,0.739089,0.762793,0.750115,0.811239,0.756634,0.746919,0.769394,0.756634,valid,2020,0.2,glove,100,TextCNNClassifyModel,MIND15/keep_all/TextCNNClassifyModel
