,epoch,loss,accuracy,macro_f,precision,recall,doc_entropy,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,val_doc_entropy,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,test_doc_entropy,split,seed,dropout_rate,embedding_type,max_length,head_num,arch_type,calculate_entropy,with_gru,run_id
29,3,0.337775,0.882635,0.879481,0.896866,0.882635,2.653833,0.67013,0.789155,0.782563,0.806771,0.789155,2.687643,0.661671,0.79276,0.786982,0.811487,0.79276,2.690931,valid,25,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
30,2,0.491516,0.82997,0.823995,0.84588,0.82997,3.156651,0.584652,0.797668,0.790179,0.811377,0.797668,3.17538,0.579974,0.807026,0.801335,0.823345,0.807026,3.177806,valid,25,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
31,1,0.699283,0.765089,0.751543,0.772364,0.765089,4.026793,0.612994,0.782022,0.775333,0.800212,0.782022,3.654219,0.60994,0.787774,0.780586,0.803646,0.787774,3.659813,valid,25,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
32,3,0.339903,0.883335,0.880496,0.898068,0.883335,2.719728,0.655774,0.789768,0.780725,0.804022,0.789768,2.764151,0.640315,0.795981,0.789465,0.812501,0.795981,2.767125,valid,2021,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
33,2,0.492021,0.830689,0.82475,0.846235,0.830689,3.322986,0.620408,0.794447,0.782127,0.802048,0.794447,3.075207,0.607485,0.795597,0.784272,0.803324,0.795597,3.075504,valid,2021,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
34,1,0.70293,0.764446,0.750772,0.772059,0.764446,4.159126,0.604418,0.791916,0.783204,0.805671,0.791916,3.704055,0.597732,0.795214,0.788124,0.811291,0.795214,3.704314,valid,2021,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
35,3,0.342328,0.880449,0.87753,0.895728,0.880449,2.927955,0.667924,0.789922,0.780226,0.803456,0.789922,2.838234,0.647552,0.799509,0.791973,0.814159,0.799509,2.83921,valid,2020,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
36,2,0.494673,0.827832,0.821799,0.843261,0.827832,3.384821,0.589568,0.797055,0.794752,0.821375,0.797055,3.240243,0.579049,0.804111,0.80141,0.826778,0.804111,3.243925,valid,2020,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
37,1,0.700601,0.765453,0.7515,0.771876,0.765453,4.045459,0.595217,0.792836,0.78475,0.808009,0.792836,3.649036,0.585631,0.798129,0.788891,0.806817,0.798129,3.652661,valid,2020,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
38,3,0.342961,0.881523,0.87838,0.895779,0.881523,2.71839,0.643517,0.791532,0.782308,0.801869,0.791532,2.855239,0.642065,0.798819,0.791889,0.814692,0.798819,2.857193,valid,42,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
39,2,0.495177,0.829068,0.823102,0.844743,0.829068,3.358548,0.598706,0.796441,0.787422,0.80838,0.796441,2.996952,0.590595,0.802194,0.795035,0.818021,0.802194,2.996323,valid,42,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
40,1,0.703777,0.764964,0.751594,0.772984,0.764964,4.140601,0.609763,0.788388,0.772481,0.792536,0.788388,3.540035,0.597979,0.795828,0.779874,0.79819,0.795828,3.540208,valid,42,0.2,glove,256,40,BiAttentionClassifyModel,1,gru,New_MIND15/keep_all/BiAttentionClassifyModel
