,epoch,loss,accuracy,macro_f,precision,recall,val_loss,val_accuracy,val_macro_f,val_precision,val_recall,test_loss,test_accuracy,test_macro_f,test_precision,test_recall,split,seed,dropout_rate,embedding_type,max_length,arch_type,run_id
21,3,0.40414,0.867122,0.863861,0.88348,0.867122,0.741454,0.770747,0.763726,0.786857,0.770747,0.728726,0.780258,0.770898,0.79266,0.780258,valid,2021,0.2,glove,100,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
22,2,0.550321,0.820248,0.814442,0.837216,0.820248,0.712645,0.767602,0.765627,0.795014,0.767602,0.706874,0.771514,0.768707,0.797869,0.771514,valid,2021,0.2,glove,100,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
23,1,0.843779,0.730093,0.710976,0.729347,0.730093,0.736592,0.761313,0.761292,0.794631,0.761313,0.736419,0.759779,0.760775,0.79645,0.759779,valid,2021,0.2,glove,100,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
24,3,0.390981,0.870612,0.86792,0.886998,0.870612,0.784263,0.769903,0.770258,0.801486,0.769903,0.776974,0.771898,0.773064,0.805437,0.771898,valid,2020,0.2,glove,100,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
25,2,0.545642,0.821714,0.816097,0.83916,0.821714,0.704652,0.769903,0.775232,0.81124,0.769903,0.711039,0.769673,0.775919,0.812091,0.769673,valid,2020,0.2,glove,100,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
26,1,0.833823,0.730601,0.712071,0.731209,0.730601,0.786276,0.751496,0.741066,0.766974,0.751496,0.782001,0.75441,0.744329,0.77112,0.75441,valid,2020,0.2,glove,100,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
27,3,0.380622,0.874102,0.870942,0.889411,0.874102,0.822294,0.760623,0.76358,0.798295,0.760623,0.800253,0.775502,0.777627,0.810357,0.775502,valid,42,0.2,glove,100,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
28,2,0.5339,0.824207,0.818509,0.840778,0.824207,0.703735,0.775579,0.764654,0.786397,0.775579,0.695417,0.779644,0.771052,0.792758,0.779644,valid,42,0.2,glove,100,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
29,1,0.834511,0.729834,0.710355,0.727821,0.729834,0.698811,0.773738,0.766614,0.7903,0.773738,0.683972,0.777497,0.769586,0.791461,0.777497,valid,42,0.2,glove,100,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
30,1,1.106791,0.659172,0.607601,0.603059,0.659172,0.804449,0.739531,0.718835,0.732927,0.739531,0.801879,0.742215,0.72346,0.739156,0.742215,valid,42,0.2,glove,100,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
31,1,0.834511,0.729834,0.710355,0.727821,0.729834,0.698811,0.773738,0.766614,0.7903,0.773738,0.683972,0.777497,0.769586,0.791461,0.777497,valid,42,0.2,glove,100,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
32,3,0.300991,0.900469,0.806539,,,0.879393,0.766835,0.571491,,,,,,,,valid,42,0.2,glove,100,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
33,2,0.50142,0.835694,0.689046,,,0.747843,0.766529,0.583681,,,,,,,,valid,42,0.2,glove,100,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
34,1,0.834352,0.731301,0.507939,,,0.701282,0.773278,0.598192,,,,,,,,valid,42,0.2,glove,100,FastformerClassifyModel,MIND15/keep_all/FastformerClassifyModel
